28;Per i campionati di Eccellenza le misure minime del terreno di gioco sono...;metri 100 x 60 con una tolleranza non superiore al 4%;metri 90 x 45 con una tolleranza non superiore al 6%;metri 110 x 75;A; ; ; ; ; ; ; 
29;Quando l'Arbitro può prescindere dall'effettuare l'accertamento della praticabilità del terreno di gioco all'ora fissata per l'inizio della gara?;Quando ne fa richiesta la squadra ospite;Quando l'impraticabilità è ritenuta non rimediabile entro l'ora fissata per l'inizio della gara;Quando ne fanno richiesta entrambe le squadre;B; ; ; ; ; ; ; 
30;Se il capitano di una squadra ritardataria formula riserve riguardo la regolarità del terreno di gioco, l'Arbitro...;non accoglierà le riserve in quanto squadra ritardataria;accoglierà le riserve e provvederà alle verifiche menzionando tutto sul referto di gara;accoglierà le riserve e provvederà alle verifiche senza farne menzione sul referto di gara;B; ; ; ; ; ; ; 
31;Si definisce «terreno di gioco» ...;l'intera struttura sportiva comprendente il rettangolo entro il quale si svolge il gioco, gli spogliatoi e le eventuali tribune per il pubblico;il rettangolo entro il quale si svolge effettivamente il gioco;il rettangolo di gioco, l'area tecnica ed il campo per destinazione;B; ; ; ; ; ; ; 
32;Una gara iniziata con luce naturale non può essere conclusa con l'accensione dell'illuminazione artificiale ...;FALSO;solo se restano più di 10 minuti al termine della gara;VERO;A; ; ; ; ; ; ; 
33;A ciascuna estremità della linea mediana ...;"devono essere infisse delle bandierine, simili a quelle del calcio d'angolo, ad una distanza di almeno 1 m dalla linea laterale";"possono essere infisse delle bandierine, simili a quelle del calcio d'angolo, ad una distanza di almeno 1 m dalla linea laterale";"possono essere infisse delle bandierine, simili a quelle del calcio d'angolo, ad una distanza di almeno 2 m dalla linea laterale";B; ; ; ; ; ; ; 
34;E' ammessa una tolleranza di 2 cm per la misura del punto del calcio di rigore?;Non è ammessa alcuna tolleranza;Si, ma solo in più;Si, ma solo in meno;A; ; ; ; ; ; ; 
35;E' obbligatorio rendere esplicita la distanza che gli avversari devono rispettare durante l'esecuzione di un calcio d'angolo, tracciando un segmento nel campo per destinazione?;No, è facoltativa;Solo nel caso che gli avversari non rispettino la distanza;Si, è obbligatorio;A; ; ; ; ; ; ; 
36;Il colore delle superfici artificiali del terreno di gioco deve essere ...;necessariamente verde;di un colore diverso dalle linee perimetrali;di un colore diverso da quello del pallone;A; ; ; ; ; ; ; 
37;Un calciatore titolare, di riserva o sostituito o un dirigente di una squadra che entra nella sala operativa video verrà ...;richiamato;ammonito;espulso;C; ; ; ; ; ; ; 
38;Lo spazio delimitato dalle reti delle porte ...;fa parte del terreno di gioco;non fa parte del terreno da gioco;"fa parte del terreno di gioco solo per effettuare il calcio di rinvio";B; ; ; ; ; ; ; 
39;Perpendicolarmente alla linea di porta ed alla linea laterale è possible tracciare, al di fuori del terreno di gioco, un segmento di linea a 9,15 m dall'arco d'angolo?;Si, è possibile;Si, è possibile ma a 10,15 m dall'arco d'angolo;No, è vietato;A; ; ; ; ; ; ; 
40;La squadra di casa ha deciso di apporre sul drappo delle bandierine d'angolo il logo del club.;"L'Arbitro deve disporre che tali bandierine vengano sostituite con altre ""neutre"". Inizierà comunque la gara ma dovrà riportare l'accaduto nel rapporto di gara";L'Arbitro inizierà regolarmente la gara;L'Arbitro inizierà la gara ma dovrà riportare l'accaduto nel rapporto di gara;B; ; ; ; ; ; ; 
41;Il sistema GLT (tecnologia sulla linea di porta) deve essere conforme allo specifico programma di qualità della FIFA?;VERO;FALSO;Dipende dall'organizzatore della competizione;A; ; ; ; ; ; ; 
42;La GLT (tecnologia sulla linea di porta)...;"è applicata solo alla linea di porta e soltanto per determinare se il portiere si muove prima dell'esecuzione del calcio di rigore";è applicata solo alla linea di porta e soltanto per determinare se una rete è stata segnata o no;è applicata solo alla linea di porta e soltanto per determinare se il pallone l'ha oltrepassata;B; ; ; ; ; ; ; 
43;La segnatura di terreni di gioco in erba naturale può essere fatta...;solo con materiale organico;solo con materiale di origine naturale di colore bianco;anche con materiale artificiale se non costituisce pericolo;C; ; ; ; ; ; ; 
44;A gioco in svolgimento un secondo pallone viene lanciato dal pubblico sul terreno di gioco. L'Arbitro cosa deve fare?;Interromperà immediatamente il gioco e lo riprenderà con una propria rimessa nel punto dove è entrato il secondo pallone;"Di norma, interromperà il gioco solo se si verifica un'interferenza con il pallone in gioco e, in tal caso, effettuerà una propria rimessa nel punto dove si trovava il pallone al momento dell'interruzione";"Di norma, interromperà il gioco solo se si verifica un'interferenza con il pallone in gioco e, in tal caso, effettuerà una propria rimessa nel punto dove è entrato il secondo pallone";B; ; ; ; ; ; ; 
45;Durante una gara l'Arbitro si accorge che mancano i palloni di riserva prescritti.;La gara viene comunque portata a termine e l'accaduto viene riportato nel rapporto di gara;"L'Arbitro sospenderà la gara richiedendo che vengano recuperati i palloni prescritti. Nel caso che questo non avvenga, la gara verrà comunque portata a termine e l'accaduto riportato nel rapporto di gara";L'Arbitro sospenderà la gara richiedendo che vengano recuperati i palloni prescritti. In caso contrario sospenderà definitivamente la gara;A; ; ; ; ; ; ; 
46;Il pallone scoppia, durante l'esecuzione di un tiro di rigore, appena è stato calciato in avanti e prima che venga toccato da un altro calciatore o dai pali della porta.;L'Arbitro riprenderà il gioco con un calcio di punizione indiretto a favore della squadra difendente;L'Arbitro riprenderà il gioco con una propria rimessa a favore del portiere;L'Arbitro dovrà far ripetere il tiro di rigore;C; ; ; ; ; ; ; 
47;"Quando una gara è giocata in ""campo neutro"" per la squalifica del campo di una Società i palloni...";devono essere forniti dalla Società prima nominata;devono essere forniti da entrambe le Società;"devono essere forniti dalla Società proprietaria del ""campo neutro""";A; ; ; ; ; ; ; 
48;Se il pallone scoppia o diviene difettoso durante l'esecuzione di un calcio d'inizio o di un calcio di rinvio o di un calcio d'angolo la gara riprenderà ...;con l'effettuazione della relativa ripresa di gioco;con l'effettuazione della relativa ripresa di gioco, tranne che per il calcio d'angolo;sempre con una rimessa da parte del'Arbitro;A; ; ; ; ; ; ; 
49;Di norma, il pallone può essere sostituito durante la gara...;e non è necessaria l'autorizzazione dell'Arbitro;solo da parte della Società locale;solo con l'autorizzazione dell'Arbitro;C; ; ; ; ; ; ; 
50;Di norma, la Società ospitante prima della gara consegnerà all'Arbitro tre palloni e lui...;farà scegliere al capitano della squadra locale;farà scegliere al capitano della squadra ospite;provvederà a scegliere quello con cui iniziare la gara in caso di controversia;C; ; ; ; ; ; ; 
51;"Il ""Multiple Ball Supply System"" obbliga la Società ospitante a mettere a disposizione...";almeno 12 palloni regolamentari;almeno 6 palloni regolamentari;almeno 3 palloni regolamentari;A; ; ; ; ; ; ; 
52;Il pallone deve avere, all'inizio della gara, un peso...;inferiore a 410 g;un peso superiore a 450 g;massimo di 450 g e minimo di 410 g;C; ; ; ; ; ; ; 
53;Il pallone deve avere una circonferenza...;massima di 70 cm e minima di 68 cm;minima di 68 cm con una tolleranza di 2 cm;massima di 70 cm con una tolleranza di 2 cm;A; ; ; ; ; ; ; 
54;Il pallone deve essere...;"di forma sferica, fatto di materiale approvato, di circonferenza massima di 70 cm e minima di 68 cm e di peso minimo di 450 g all'inizio della gara";di forma sferica, di cuoio o di materiale plastico, di circonferenza massima di 70 cm e minima di 68 cm;"di forma sferica, fatto di materiale approvato, di circonferenza massima di 70 cm e minima di 68 cm e di peso compreso tra i 410 e 450 g all'inizio della gara";C; ; ; ; ; ; ; 
55;Il pallone diventa irregolare prima dell'esecuzione di un calcio di rinvio che viene comunque eseguito. Cosa devono fare l'Arbitro e l'Assistente?;L'AA segnalerà subito l'irregolarità, l'Arbitro farà sostituire il pallone e farà ripetere il calcio di rinvio;L'AA non deve intervenire, sarà l'Arbitro a far sostituire il pallone e far ripetere il calcio di rinvio;L'AA segnalerà subito l'irregolarità, l'Arbitro farà sostituire il pallone e riprenderà il gioco con una propria rimessa;A; ; ; ; ; ; ; 
56;Il pallone non è in gioco quando...;ha interamente superato una linea di porta o una linea laterale, solo a terra;ha interamente superato una linea di porta o una linea laterale, sia a terra sia in aria;ha superato, anche non completamente, una linea di porta o una linea laterale, sia a terra sia in aria;B; ; ; ; ; ; ; 
57;"In una gara giocata in ""campo neutro"" a seguito di squalifica quale Società dovrà fornire i palloni?";Devono essere forniti dalla Società prima nominata;Devono essere forniti da entrambe le Società;"Devono essere forniti dalla Società a cui appartiene il ""campo neutro""";A; ; ; ; ; ; ; 
58;Le alterazioni di peso del pallone dovute alle condizioni del terreno di gioco, di norma, non possono dare luogo alla sostituzione del pallone.;Falso, alla prima alterazione di peso il pallone deve essere immediatamente sostituito;VERO;Falso, il pallone deve essere immediatamente sostituito solo se siamo nel secondo tempo della gara;B; ; ; ; ; ; ; 
59;Per poter iniziare una gara occorrono almeno tre palloni, controllati dall'Arbitro prima dell'inizio della gara.;Falso, è sufficiente un pallone. L'Arbitro dovrà fare menzione di ciò nel referto di gara;Vero, nel caso di impossibilità di reperire i tre palloni l'Arbitro non darà inizio alla gara;Vero, l'Arbitro inizierà la gara solo nel momento che siano resi disponibili i tre palloni;A; ; ; ; ; ; ; 
60;Prima dell'inizio della gara viene constatata la mancanza dei palloni di riserva, l'Arbitro...;inizierà la gara solo nel momento che siano disponibili i palloni di riserva;nel caso di impossibilità di reperire i palloni di riserva non darà inizio alla gara;darà ugualmente inizio alla gara facendo menzione dell'accaduto sul rapporto di gara;C; ; ; ; ; ; ; 
61;Se durante la gara si rendessero indisponibili tutti i palloni come dovrà regolarsi l'Arbitro?;Accorderà un tempo ragionevole, in ogni caso non superiore ad un tempo di gara, alla squadra ospitante per il recupero di un pallone, scaduto il quale sospenderà definitivamente la gara;Dovrà sospendere definitivamente la gara;Accorderà tutto il tempo necessario alla squadra ospitante per il recupero di un pallone;A; ; ; ; ; ; ; 
62;Se il pallone scoppia o diviene difettoso quando il gioco è in svolgimento l'Arbitro...;interromperà il gioco e, con un nuovo pallone, lo riprenderà con una rimessa nel punto in cui si trovava il pallone quando si è reso inutilizzabile;interromperà il gioco e, con un nuovo pallone, lo riprenderà con un calcio di punizione indiretto a favore della squadra che ne era in possesso al momento dell'interruzione;sospenderà in maniera definitiva la gara;A; ; ; ; ; ; ; 
63;Secondo le Regole del Gioco quali devono essere i colori del pallone?;I palloni possono essere solo bianchi;I palloni devono avere un colore diverso da quello delle maglie delle due squadre;I palloni possono essere di qualsiasi colore;C; ; ; ; ; ; ; 
64;Una gara non potrà avere inizio in mancanza di almeno due palloni, controllati dall'Arbitro prima dell'inizio della gara stessa.;Vero, nel caso di impossibilità di reperire i due palloni l'Arbitro non darà inizio alla gara;Falso, è sufficiente un pallone. L'Arbitro dovrà fare menzione dell'accaduto nel referto di gara;Vero, l'Arbitro inizierà la gara solo nel momento che siano resi disponibili i due palloni;B; ; ; ; ; ; ; 
65;"Per le gare della Lega PRO è obbligatorio l'utilizzo del ""Multiple Ball Supply System"".";Falso, non è obbligatorio;Vero, è obbligatorio;Solo nelle gare di Play-off;A; ; ; ; ; ; ; 
66;"Quando una gara di finale è giocata in ""campo neutro"" i palloni devono essere forniti...";dalla Società prima nominata;da entrambe le Società, laddove non provveda l'organizzatore della competizione solo da parte della Società locale;"dalla Società a cui appartiene il ""campo neutro""";B; ; ; ; ; ; ; 
67;Il regolamento della competizione stabilisce il numero dei calciatori di riserva che è possibile inserire negli elenchi dei partecipanti alla gara.;Da un minimo di tre ad un massimo di cinque;Da un minimo di tre ad un massimo di dodici;Da un minimo di tre ad un massimo di quindici;C; ; ; ; ; ; ; 
68;Al termine del tempo di attesa, una squadra...;deve esibire all'Arbitro i documenti richiesti;deve esibire all'Arbitro i documenti richiesti e presentarsi in tenuta da gioco;deve presentarsi al campo di gioco;B; ; ; ; ; ; ; 
69;All'inizio della gara un calciatore di riserva (A) prende il posto di un titolare designato e l'Arbitro non viene informato di questo cambio.;L'Arbitro consente ad (A) di proseguire la gara dopo averlo ammonito per comportamento antisportivo;L'Arbitro consente ad (A) di proseguire la gara senza adottare sanzioni disciplinari;L'Arbitro deve far uscire dal terreno di gioco (A) dopo averlo ammonito per comportamento antisportivo;B; ; ; ; ; ; ; 
70;Ciascun calciatore partecipante al gioco può scambiare il ruolo con il portiere a condizione che ...;"l'Arbitro ne sia informato prima dello scambio e questo avvenga durante un'interruzione di gioco";"l'Arbitro ne sia informato prima dello scambio e questo avvenga anche a gioco in svolgimento";che lo scambio avvenga durante un'interruzione di gioco;A; ; ; ; ; ; ; 
71;Dopo che le squadre sono entrate sul terreno di gioco ma prima del fischio d'inizio della gara un calciatore si rende colpevole di condotta violenta. L'Arbitro ...;inibisce al calciatore la partecipazione alla gara mostrandogli il cartellino rosso e consente che sia rimpiazzato ma soltanto da un calciatore di riserva iscritto in distinta;inibisce al calciatore la partecipazione alla gara mostrandogli il cartellino rosso e consente che sia rimpiazzato anche da un calciatore di riserva non iscritto in distinta;inibisce al calciatore la partecipazione alla gara mostrandogli il cartellino rosso e non consente che sia rimpiazzato;A; ; ; ; ; ; ; 
72;"Dopo che una rete è stata segnata e prima che il gioco riprenda, l'Arbitro si accorge che c'era un ""estraneo"" sul terreno di gioco nel momento in cui la rete è stata segnata. Decisione ...";l'Arbitro, in ogni caso, non convaliderà la rete e riprenderà il gioco con una propria rimessa dove la persona estranea si trovava in quel momento;l'Arbitro convaliderà la rete in ogni caso;l'Arbitro convaliderà la rete se la persona estranea non ha interferito con il gioco;C; ; ; ; ; ; ; 
73;Di norma, durante una sostituzione da dove deve obbligatoriamente entrare il calciatore R (riserva) e da dove deve uscire quello T (titolare) sostituito?;R all'altezza della linea mediana e T dal punto della linea perimetrale più vicina;R da un qualsiasi punto della linea laterale e T dal punto della linea perimetrale più vicina;R all'altezza della linea mediana e T dal un qualsiasi punto delle linee perimetrali;A; ; ; ; ; ; ; 
74;Gli elenchi nominativi dei calciatori componenti le squadre che devono essere presentati all'Arbitro prima dell'inizio della gara...;possono essere integrati dopo che la gara è iniziata per l'eventuale arrivo di calciatori ritardatari;non possono essere integrati dopo che la gara è iniziata per l'eventuale arrivo di calciatori ritardatari;possono essere integrati dopo che la gara è iniziata per l'eventuale arrivo di soli calciatori titolari ritardatari;C; ; ; ; ; ; ; 
75;I calciatori di riserva ritardatari non iscritti in elenco ...;non possono prendere parte al gioco;"possono prendere parte al gioco, in qualsiasi momento della gara, previo riconoscimento da parte dell'Arbitro";non possono più prendere parte al gioco così come i calciatori titolari ritardatari;A; ; ; ; ; ; ; 
76;I calciatori titolari inibiti a prendere parte al gioco prima che la gara abbia inizio possono essere rimpiazzati soltanto da calciatori di riserva iscritti nell'elenco consegnato all'Arbitro.;Falso. Non è permesso alcun rimpiazzo;Falso. Il rimpiazzo è permesso anche con calciatori di riserva non iscritti in elenco;VERO;C; ; ; ; ; ; ; 
77;Il calciatore n°11, che sta per essere sostituito dal calciatore n°16, esce con l'assenso dell'Arbitro dal terreno di gioco. Il calciatore n°16, prima di entrare sul terreno di gioco, colpisce violentemente un avversario che si trova nel campo per destinazione.;L'Arbitro espellerà il n°16 per condotta violenta e il n° 11 non potrà essere sostituito da un altro calciatore di riserva;L'Arbitro espellerà il n°16 per condotta violenta e il n° 11 potrà essere sostituito da un altro calciatore di riserva;L'Arbitro espellerà il n°16 per grave fallo di gioco e il n° 11 potrà essere sostituito da un altro calciatore di riserva;B; ; ; ; ; ; ; 
78;"Il dirigente accompagnatore ufficiale e il capitano di una squadra hanno diritto di avere in visione dall'Arbitro ...";"le tessere, il tabulato nonché i documenti di identificazione dei componenti la squadra avversaria solo dopo lo svolgimeto della gara";soltanto il tabulato dei componenti la squadra avversaria, prima e anche dopo lo svolgimeto della gara;"le tessere, il tabulato nonché i documenti di identificazione dei componenti la squadra avversaria, prima e anche dopo della gara";C; ; ; ; ; ; ; 
79;L'Arbitro può identificare i calciatori esclusivamente mediante un documento di riconoscimento ufficiale rilasciato dalle Autorità competenti e mediante apposite tessere eventualmente rilasciate dalle Leghe, dal SGS e dai Comitati.;Falso. L'Arbitro può identificarli solo con un documento di riconoscimento ufficiale rilasciato dalle Autorità competenti;Falso. L'Arbitro può identificarli solo mediante apposite tessere eventualmente rilasciate dalle Leghe, dal SGS e dai Comitati;Falso. L'Arbitro può identificarli anche per conoscenza personale;C; ; ; ; ; ; ; 
80;Pochi istanti prima dell'inizio della gara, il capitano di una squadra chiede che si attenda l'arrivo del proprio allenatore.;La richiesta non può essere accolta e l'Arbitro darà inizio alla gara;La richiesta può essere accolta e si può attendere l'arrivo dell'allenatore per la duranta del tempo di attesa previsto dalla competizione;La richiesta può essere accolta ma solo se si tratta dell'allenatore della squadra locale;B; ; ; ; ; ; ; 
81;Prima che venga effettuata una rimessa laterale la squadra a cui la rimessa è accordata chiede di effettuare una sostituzione. Può il calciatore subentrante effettuare egli stesso la ripresa di gioco?;Si, purchè abbia preventivamente fatto ingresso sul terreno di gioco;No, fino a che non ha partecipato ad una azione di gioco;No, fino a che il gioco non è ripreso;A; ; ; ; ; ; ; 
82;Se con il pallone in gioco un calciatore di riserva entra sul terreno di gioco cosa farà l'Arbitro?;"Se interferisce con il gioco ammonisce il calciatore e lo fa uscire dal terreno di gioco accordando un calcio di punizione diretto o di rigore dove si è determinata l'interferenza";Se interferisce con il gioco ammonisce il calciatore e lo fa uscire dal terreno di gioco accordando un calcio di punizione indiretto dove si è determinata l'interferenza;Se interferisce con il gioco ammonisce il calciatore e lo fa uscire dal terreno di gioco riprendendo il gioco con una propria rimessa dove si è determinata l'interferenza;A; ; ; ; ; ; ; 
83;Un calciatore di riserva, espulso prima del calcio d'inizio o durante la gara,...;potrà essere rimpiazzato solo se si tratta del secondo portiere;potrà essere rimpiazzato con un altro calciatore non iscritto in distinta;non potrà essere rimpiazzato;C; ; ; ; ; ; ; 
84;Un calciatore di riserva, che sta sostituendo un calciatore titolare già uscito dal terreno di gioco, può riprendere il gioco...;direttamente eseguendo una rimessa laterale o un calcio d'angolo senza essere entrato sul terreno di gioco;eseguendo una rimessa laterale o un calcio d'angolo purchè abbia preventivamente fatto ingresso sul terreno di gioco;non può eseguire una rimessa laterale o un calcio d'angolo fino a che il gioco non è ripreso;B; ; ; ; ; ; ; 
85;Una sostituzione si intende effettuata sempre e solo nel momento in cui l'Arbitro dà la propria autorizzazione ...;ed il calciatore di riserva entra sul terreno di gioco;ed il calciatore sostituito esce dal terreno di gioco;ed il calciatore di riserva entra sul terreno di gioco ed il gioco è ripreso;A; ; ; ; ; ; ; 
86;Una squadra con solo sette calciatori subisce un calcio di rigore e un suo calciatore viene espulso lasciando la squadra in sei calciatori.;L'Arbitro fa eseguire il calcio di rigore e poi sospende definitivamente la gara;L'Arbitro fa eseguire il calcio di rigore e fa proseguire la gara;L'Arbitro sospende immediatamente e definitivamente la gara;C; ; ; ; ; ; ; 
87;Una squadra sta giocando con solo sette calciatori. Al momento che la squadra avversaria sta per segnare una rete uno dei sette calciatori esce deliberatamente fuori dal terreno di gioco. L'Arbitro...;se può applica il vantaggio e, poi, ammonisce il calciatore che è uscito dal terreno di gioco;l'Arbitro sospende immediatamente e definitivamente la gara;"l'Arbitro ferma immediatamente il gioco, ammonisce il calciatore che è uscito dal terreno di gioco e riprende il gioco con un calcio di punizione indiretto per la squadra avversaria";A; ; ; ; ; ; ; 
88;Durante l'intervallo una squadra sostituisce un calciatore con uno di riserva. Quale deve essere la procedura da eseguire?;Il calciatore, con l'autorizzazione dell'Arbitro, entrerà da qualsiasi punto della linea perimetrale subito prima del calcio d'inizio;Il calciatore, con l'autorizzazione dell'Arbitro, entrerà all'altezza della linea mediana subito prima del calcio d'inizio;"Il calciatore, con l'autorizzazione dell'Arbitro, entrerà all'altezza della linea mediana alla prima interruzione di gioco";B; ; ; ; ; ; ; 
89;I calciatori titolari ritardatari non iscritti in elenco prima del calcio d'inizio...;non possono prendere più parte al gioco;previa identificazione a gioco fermo, possono prendere parte al gioco solo se non è terminato il primo tempo della gara;previa identificazione a gioco fermo, possono prendere parte al gioco in qualsiasi momento della gara;C; ; ; ; ; ; ; 
90;"Di norma, il calciatore sostituito è obbligato a lasciare il terreno di gioco ...";dal punto della linea perimetrale più vicina;all'altezza della linea mediana;dalla linea di porta più vicina;A; ; ; ; ; ; ; 
91;"La ""conoscenza personale"" dell'Arbitro vale come metodo di identificazione per essere ammessi nel recinto di gioco?";Vale per qualsiasi tesserato;Vale solamente per i calciatori;Vale solamente per i dirigenti;B; ; ; ; ; ; ; 
